timestamp,success_rate,S_start,S_end,S_range,q,n,mu1,mu2,num_trials,acc_given_U,acc_given_V,Set U,Mean of U,seed
2026-07-15T16:57:50,0.9975,1000000,10000000,9000000,100,200000,20000,20160,2000,1.0,0.0,"[37433.17268635 21582.41376918  9625.9087865  23215.54996515
 13944.30833984 13237.80170107 55607.77706595  3587.5273649 ]",22279.307459865606,
2026-07-15T16:58:41,0.9985,1000000,10000000,9000000,100,200000,20000,20160,2000,1.0,0.0,"[ 2466.51454333 23779.11033629  8673.27984289 30040.82811851
 23225.68344461 71140.69371724 11538.40438517 59127.89291962]",28749.050913458657,
2026-07-15T16:59:14,0.997,0.998,1000000,10000000,9000000,100,200000,20000,20160,2000,1.0,0.0,"[21239.54742022 10396.92514132 12686.72479766 13823.9207561
 14542.28638725 21364.07929473  3730.77009464   966.68829715]",12343.867773634422,
2026-07-15T16:59:29,0.998,0.999,10000000,100000000,90000000,100,200000,20000,20160,2000,1.0,0.0,"[ 7415.76543774  6490.80383847  1949.18798585 20276.46585199
  2459.13797301 58336.25896035  1449.2144034   3644.45399935]",12752.661056270254,
