timestamp,success_rate,threshold,S_start,S_end,S_range,bob_to_alice_ratio,q,n,mu1,mu2,num_trials,acc_given_U,acc_given_V,Set U,Mean of U,seed
2026-07-11T19:26:20,0.719,58.49119573433285,10000,1000000,990000,0.0007701729037589515,100,50000,10000,25000,1000,0.8027613412228797,0.6328600405679513,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:26:23,0.828,72.19445595710454,10000,1000000,990000,0.0038755552254513027,500,50000,10000,25000,1000,0.792156862745098,0.8653061224489796,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:26:26,0.908,169.7386899321704,10000,1000000,990000,0.01543706993911532,2000,50000,10000,25000,1000,0.8029978586723768,1.0,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:26:31,0.707,40.845033480490756,10000,1000000,990000,0.0003818055315421083,100,100000,10000,25000,1000,0.778,0.636,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:26:37,0.765,45.62290204932715,10000,1000000,990000,0.0019406457927535817,500,100000,10000,25000,1000,0.7852998065764023,0.7432712215320911,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:26:42,0.902,93.10312217954417,10000,1000000,990000,0.007790059136217073,2000,100000,10000,25000,1000,0.805168986083499,1.0,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:26:53,0.712,28.53391293820497,10000,1000000,990000,0.00019129901653285996,100,200000,10000,25000,1000,0.80990099009901,0.6121212121212121,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-11T19:27:04,0.718,30.038494124929407,10000,1000000,990000,0.0009345636071414935,500,200000,10000,25000,1000,0.7714884696016772,0.6692160611854685,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-13T16:11:04,0.7365,40.845033480490756,10000,1000000,990000,0.00033287415962874814,100,100000,10000,30000,2000,0.7869346733668342,0.6865671641791045,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-13T16:11:10,0.8815,60.063563229031615,10000,1000000,990000,0.00336201900414812,1000,100000,10000,30000,2000,0.7937937937937938,0.9690309690309691,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-13T16:12:10,0.723,12.796394904788915,10000,1000000,990000,3.345614122488457e-05,100,1000000,10000,30000,2000,0.7936507936507936,0.6512096774193549,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-13T16:13:11,0.766,13.403237889373372,10000,1000000,990000,0.00033493289986481566,1000,1000000,10000,30000,2000,0.7819623389494549,0.7497477295660948,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
2026-07-13T16:23:25,0.7335,3.995725462896324,10000,1000000,990000,3.365798859773656e-06,100,10000000,10000,30000,2000,0.7966601178781926,0.6680244399185336,"[ 6799.31903969 10195.97101466   198.06662589    22.69326681
  5503.42872639 16299.40434658  6735.82952667  7553.01357825]",6663.465765618895,0
