timestamp,success_rate,threshold,S_range,bob_to_alice_ratio,q,n,mu1,mu2,num_trials,acc_given_U,acc_given_V,seed
2026-07-10T16:53:49,0.7255,57.658120281733055,10000-100000000,0.0008843056171662509,250,200000,20000,50000,2000,0.7995802728226653,0.6580706781279847,1
2026-07-10T16:57:05,0.8035,57.64338288442539,1000000-100000000,0.0005245264794354239,250,200000,20000,100000,2000,0.7951807228915663,0.8117529880478087,1
2026-07-11T10:09:07,0.4225,144.10945257780438,1000000-100000000,0.0022455887250185046,250,200000,50000,20000,2000,0.7932692307692307,0.020833333333333332,
2026-07-11T10:13:33,0.8395,29.427231786859576,1000000-100000000,0.00015661894774340334,250,200000,10000,80000,2000,0.794,0.885,
2026-07-11T10:24:22,0.8615,14.382858869499414,1000000-100000000,0.0001276467213157996,250,200000,5000,80000,2000,0.7770897832817337,0.9408341416100873,
2026-07-11T12:20:08,0.4125,14.352058057296189,1000000-100000000,0.0022917681311086678,250,200000,5000,550,2000,0.8208955223880597,0.0,
2026-07-11T12:22:28,0.5275,1.441785373509248,1000000-100000000,0.001164743376938542,250,200000,500,550,2000,0.829465186680121,0.2309217046580773,
2026-07-11T16:07:30,0.5495,1.4180228844570821,1000000-100000000,0.0011582197510707495,250,200000,500,600,2000,0.7976190476190477,0.2973790322580645,
2026-07-11T16:30:36,0.8135,1.461694829154837,1000000-10000000,0.0003843690660918055,250,200000,500,3000,2000,0.7961460446247465,0.8303747534516766,
2026-07-13T16:03:10,0.8205,1.4653827871016352,1000000,10000000,9000000,0.000394293571613406,250,200000,500,3000,2000,0.803729146221786,0.8379204892966361,"[836.21537029 491.25829708 917.12728961  44.53953353 564.83969947
 638.40756037 610.32354331 249.00639931]",543.9647116208042,
2026-07-13T16:03:49,0.8775,1.4818046311137256,1000000,100000000,99000000,8.097668762818667e-05,250,200000,500,8000,2000,0.804040404040404,0.9495049504950495,"[  72.25711943  417.92632731  103.09985997  161.59438219  277.85017191
   35.21060147   99.61164884 1054.86691214]",277.8021279068571,
